,MACD_SIGNAL,MACD_ZERO,Color
2008-01-02,-0.0949578850069,-0.0954032528115,r
2008-01-03,-0.0947304965662,-0.0950112626924,r
2008-01-04,-0.130895325861,-0.184118865159,r
2008-01-07,-0.166560923496,-0.239293995296,r
2008-01-08,-0.208279872114,-0.315375912044,r
2008-01-09,-0.229787486277,-0.289655226152,r
2008-01-10,-0.243335329187,-0.281862630381,r
2008-01-11,-0.261262794117,-0.32266513443,r
2008-01-14,-0.268946731438,-0.288999504222,r
2008-01-15,-0.286889407401,-0.359295861118,r
2008-01-16,-0.324418966578,-0.503196208582,r
2008-01-17,-0.368398581871,-0.589925850034,r
2008-01-18,-0.412590163707,-0.642532854728,r
2008-01-22,-0.463371947439,-0.738934191141,r
2008-01-23,-0.541612267496,-0.993387506348,r
2008-01-24,-0.638376482566,-1.21591586299,r
2008-01-25,-0.750836074297,-1.4386347667,r
2008-01-28,-0.867837766059,-1.59271163962,r
2008-01-29,-0.979621757311,-1.67385584337,k
2008-01-30,-1.08141816651,-1.709377817,r
2008-01-31,-1.16635851733,-1.67676531486,r
2008-02-01,-1.23800273132,-1.65350811948,r
2008-02-04,-1.29992997769,-1.64456385555,r
2008-02-05,-1.35515364772,-1.64976022603,r
2008-02-06,-1.41400684539,-1.73442836382,k
2008-02-07,-1.47284003079,-1.79148971866,k
2008-02-08,-1.52111123196,-1.75806132153,k
2008-02-11,-1.55231415174,-1.65764809208,k
2008-02-12,-1.5763050527,-1.62508736227,k
2008-02-13,-1.58536859583,-1.51818437814,k
2008-02-14,-1.58513344578,-1.44560768822,k
2008-02-15,-1.58126788321,-1.41357831193,g
2008-02-19,-1.57722504727,-1.40839193682,g
2008-02-20,-1.5687625204,-1.36562573293,g
2008-02-21,-1.55948475767,-1.35052257083,g
2008-02-22,-1.55162569515,-1.35447605302,g
2008-02-25,-1.54284354324,-1.33897942843,g
2008-02-26,-1.53298312657,-1.32124516039,g
2008-02-27,-1.51473427928,-1.23727683101,g
2008-02-28,-1.47806913387,-1.05582548126,g
2008-02-29,-1.43615463087,-0.975073232595,g
2008-03-03,-1.39582135246,-0.950712874484,g
2008-03-04,-1.35159556114,-0.878743773369,g
2008-03-05,-1.30483048249,-0.815369491189,g
2008-03-06,-1.26232998778,-0.810882900483,g
2008-03-07,-1.22064064555,-0.779287259182,g
2008-03-10,-1.18384206847,-0.78522563379,g
2008-03-11,-1.13760934736,-0.666550271731,g
2008-03-12,-1.08724659036,-0.587078785098,g
2008-03-13,-1.03126135935,-0.490372698045,g
2008-03-14,-0.974264724614,-0.430181299655,g
2008-03-17,-0.91717458256,-0.377383266616,g
2008-03-18,-0.850688024986,-0.240435074751,g
2008-03-19,-0.78413380199,-0.179273014724,g
2008-03-20,-0.712829034183,-0.0757131298678,g
2008-03-24,-0.629225844435,0.10045743395,g
2008-03-25,-0.536573676186,0.258418172615,g
2008-03-26,-0.433137210239,0.440318494331,g
2008-03-27,-0.33313759061,0.503254681542,g
2008-03-28,-0.233827554299,0.587920581734,g
2008-03-31,-0.137190717401,0.653972121653,g
2008-04-01,-0.0353046043953,0.789350578372,g
2008-04-02,0.0635108797785,0.854103417424,g
2008-04-03,0.163781439467,0.957063018716,g
2008-04-04,0.264073237073,1.04833871397,g
2008-04-07,0.365504081254,1.14975523746,g
2008-04-08,0.458822798843,1.16833336103,g
2008-04-09,0.540430463364,1.14690190533,g
2008-04-10,0.615721431776,1.16373041783,g
2008-04-11,0.670793133046,1.04875441764,g
2008-04-14,0.710067478775,0.955503222166,g
2008-04-15,0.73705351738,0.879721317177,g
2008-04-16,0.762568427906,0.890876785483,g
2008-04-17,0.786598079688,0.900566874925,g
2008-04-18,0.818908269284,0.997479959796,g
2008-04-21,0.867055490387,1.1704482668,g
2008-04-22,0.910245522687,1.16918368538,g
2008-04-23,0.951963453157,1.19502910045,g
2008-04-24,1.00039067998,1.29374916238,g
2008-04-25,1.05208250063,1.36731141662,g
2008-04-28,1.10737832451,1.44691475154,g
2008-04-29,1.166851269,1.53498727692,g
2008-04-30,1.22407473186,1.56855050406,g
2008-05-01,1.28664360708,1.66897010972,k
2008-05-02,1.35101188508,1.74207123723,k
2008-05-05,1.41937362748,1.83670909044,k
2008-05-06,1.48991675876,1.91853099298,k
2008-05-07,1.55103408614,1.89702907812,k
2008-05-08,1.60587354751,1.89553177931,k
2008-05-09,1.64986901924,1.84691156198,k
2008-05-12,1.69082426903,1.85924971487,k
2008-05-13,1.72934637793,1.87433651271,r
2008-05-14,1.7565502344,1.80660463035,r
2008-05-15,1.7786969606,1.78540690161,r
2008-05-16,1.79085331998,1.71486274842,k
2008-05-19,1.78660443584,1.57705325489,k
2008-05-20,1.77268575714,1.48546676769,k
2008-05-21,1.73716198587,1.27682024468,k
2008-05-22,1.68350466937,1.0800666621,k
2008-05-23,1.62375863769,0.976139964229,k
2008-05-27,1.56859043175,0.963464504978,k
2008-05-28,1.51750426825,0.950444702697,r
2008-05-29,1.46854290541,0.923371033707,r
2008-05-30,1.42435821469,0.922285514483,r
2008-06-02,1.37871530217,0.868965533881,r
2008-06-03,1.33059253699,0.805053356887,r
2008-06-04,1.28032496538,0.741931050906,r
2008-06-05,1.2357829278,0.748269912533,r
2008-06-06,1.18874943571,0.685251402773,k
2008-06-09,1.13313688213,0.56473975506,k
2008-06-10,1.0787102255,0.525041367876,k
2008-06-11,1.01731046866,0.412392610102,k
2008-06-12,0.938852098089,0.201911357263,k
2008-06-13,0.848171805166,0.0198358367369,k
2008-06-16,0.758286619211,-0.0552253113648,k
2008-06-17,0.678657107594,-0.0437292524045,r
2008-06-18,0.603378791596,-0.0764994087659,r
2008-06-19,0.536427067016,-0.0692528275485,r
2008-06-20,0.467189136805,-0.1507414561,r
2008-06-23,0.394323830827,-0.246472819975,k
2008-06-24,0.320821841676,-0.318360703442,r
2008-06-25,0.255774022461,-0.30834471752,r
2008-06-26,0.182849496682,-0.438828617035,r
2008-06-27,0.109487459743,-0.508963084619,r
2008-06-30,0.0334191191126,-0.60007931504,k
2008-07-01,-0.0299710732783,-0.554067374847,r
2008-07-02,-0.0935154365952,-0.612980487517,r
2008-07-03,-0.151848516051,-0.62335251778,r
2008-07-07,-0.196012949414,-0.547725841812,r
2008-07-08,-0.221203789397,-0.415648386904,r
2008-07-09,-0.241062725532,-0.390127616443,r
2008-07-10,-0.252333861783,-0.330228303359,k
2008-07-11,-0.263888754356,-0.343029199175,k
2008-07-14,-0.272863716847,-0.330105207271,k
2008-07-15,-0.286750009084,-0.382808931872,g
2008-07-16,-0.298044350089,-0.371891157809,k
2008-07-17,-0.308608913646,-0.375517270895,k
2008-07-18,-0.329411322211,-0.477990952188,g
2008-07-21,-0.354556023104,-0.536262886213,k
2008-07-22,-0.388918250381,-0.642707812556,g
2008-07-23,-0.421145913404,-0.654517839466,k
2008-07-24,-0.462757242358,-0.768896568232,g
2008-07-25,-0.503981423435,-0.80313812271,g
2008-07-28,-0.556276311568,-0.940986038224,g
2008-07-29,-0.609625932136,-0.99800307967,g
2008-07-30,-0.656668468382,-0.989182992332,g
2008-07-31,-0.69870982316,-0.986488969642,g
2008-08-01,-0.739086677312,-1.00953120439,g
2008-08-04,-0.782104672718,-1.07012851169,g
2008-08-05,-0.812233083902,-0.992211164126,k
2008-08-06,-0.825451832698,-0.866124681555,k
2008-08-07,-0.826551053717,-0.768157088683,k
2008-08-08,-0.808063097351,-0.591439064169,r
2008-08-11,-0.768730789279,-0.385543099019,r
2008-08-12,-0.709811317227,-0.172141475205,r
2008-08-13,-0.633890322097,0.0355720377099,r
2008-08-14,-0.547755321394,0.19712765561,r
2008-08-15,-0.462726836642,0.2652388771,r
2008-08-18,-0.381370021271,0.30907239586,r
2008-08-19,-0.308029407832,0.310156447259,r
2008-08-20,-0.238512977587,0.34200173949,r
2008-08-21,-0.176393236709,0.33796381865,r
2008-08-22,-0.117128514701,0.368421632432,r
2008-08-25,-0.0689454954681,0.321647990868,r
2008-08-26,-0.0282831798546,0.297128977981,r
2008-08-27,0.00744355457206,0.289241330604,r
2008-08-28,0.0368631083651,0.264431021908,r
2008-08-29,0.0535947771466,0.176005752402,r
2008-09-02,0.0549929930383,0.0520653454651,r
2008-09-03,0.0466779059888,-0.0347952942634,r
2008-09-04,0.0218546360952,-0.192119119404,r
2008-09-05,-0.0157080754381,-0.330226932361,r
2008-09-08,-0.0650028575602,-0.47075337595,r
2008-09-09,-0.131630769296,-0.672743050192,r
2008-09-10,-0.208432424816,-0.825501714073,r
2008-09-11,-0.288052819289,-0.920758763029,r
2008-09-12,-0.373215356375,-1.04328283468,r
2008-09-15,-0.473827476087,-1.26072598113,r
2008-09-16,-0.582510627659,-1.42524067225,r
2008-09-17,-0.71334310797,-1.72481128923,r
2008-09-18,-0.844263751032,-1.84431611207,r
2008-09-19,-0.958625846948,-1.81286455349,r
2008-09-22,-1.07343957662,-1.9207235091,r
2008-09-23,-1.19094467308,-2.04931343598,r
2008-09-24,-1.30217441209,-2.09898974681,r
2008-09-25,-1.39857538361,-2.06536691011,r
2008-09-26,-1.48623960941,-2.07356306021,r
2008-09-29,-1.60241249267,-2.41176159319,r
2008-09-30,-1.71899381273,-2.52087155644,r
2008-10-01,-1.83800721527,-2.6487127275,k
2008-10-02,-1.96827879809,-2.85884013361,g
2008-10-03,-2.10533470554,-3.03859063889,g
2008-10-06,-2.23870088437,-3.12946502169,g
2008-10-07,-2.3780256991,-3.30453175611,g
2008-10-08,-2.51342934268,-3.39536484007,g
2008-10-09,-2.64078355005,-3.44518428662,g
2008-10-10,-2.7417911862,-3.32168968607,k
2008-10-13,-2.79511039996,-2.98065511165,r
2008-10-14,-2.82052163329,-2.77582147887,r
2008-10-15,-2.83276591357,-2.6794128322,k
2008-10-16,-2.82552437277,-2.51372636448,r
2008-10-17,-2.80929161277,-2.42557833118,r
2008-10-20,-2.7823685117,-2.31385631134,r
2008-10-21,-2.75751502962,-2.30820660587,r
2008-10-22,-2.72273114904,-2.19555795897,r
2008-10-23,-2.67675616134,-2.06246094762,r
2008-10-24,-2.62455533907,-1.96426034112,k
2008-10-27,-2.57403554789,-1.93215036573,k
2008-10-28,-2.51020893241,-1.76558008914,k
2008-10-29,-2.42839801613,-1.54449750735,r
2008-10-30,-2.32281405717,-1.25457616173,r
2008-10-31,-2.20716869848,-1.06749179778,r
2008-11-03,-2.08678708811,-0.91959399486,r
2008-11-04,-1.95777575521,-0.732073326642,r
2008-11-05,-1.83774731007,-0.696522902827,r
2008-11-06,-1.73303132951,-0.726551239505,k
2008-11-07,-1.64205507636,-0.756203128976,k
2008-11-10,-1.56591798438,-0.808296350654,k
2008-11-11,-1.50289210807,-0.858175482239,k
2008-11-12,-1.45742048045,-0.960262325995,g
2008-11-13,-1.413472185,-0.932826970451,k
2008-11-14,-1.3810459207,-0.997492401793,g
2008-11-17,-1.35988046963,-1.07024178336,k
2008-11-18,-1.3428681273,-1.0887196198,k
2008-11-19,-1.33406659209,-1.14778127704,k
2008-11-20,-1.33977181903,-1.2714161305,g
2008-11-21,-1.35055535548,-1.32266824757,k
2008-11-24,-1.34553043043,-1.1890212944,r
2008-11-25,-1.33174628704,-1.10498936159,r
2008-11-26,-1.30368166754,-0.96291552074,r
2008-11-28,-1.26902534299,-0.877645514838,r
2008-12-01,-1.23583825442,-0.859532116831,k
2008-12-02,-1.19743798271,-0.782121864222,k
2008-12-03,-1.14949335492,-0.660684732986,k
2008-12-04,-1.10277631132,-0.628322277767,k
2008-12-05,-1.05286345957,-0.556939971155,k
2008-12-08,-0.991486395608,-0.407638478563,r
2008-12-09,-0.922382060009,-0.281840888558,r
2008-12-10,-0.852231655466,-0.209651171576,r
2008-12-11,-0.788180879775,-0.201345599559,r
2008-12-12,-0.724120688976,-0.143146609401,r
2008-12-15,-0.667371877938,-0.151360988931,r
2008-12-16,-0.615776356112,-0.146628561452,r
2008-12-17,-0.57951792899,-0.238969877736,r
2008-12-18,-0.554218038235,-0.305499748045,r
2008-12-19,-0.535956351478,-0.346402991543,k
2008-12-22,-0.529991619559,-0.441404921,k
2008-12-23,-0.531300017185,-0.501982534386,k
2008-12-24,-0.539467964679,-0.565406664369,g
2008-12-26,-0.550408399534,-0.597972387764,g
2008-12-29,-0.561070211458,-0.605370736351,g
2008-12-30,-0.57121035181,-0.610311097439,k
2008-12-31,-0.581703688681,-0.622715862337,g
2009-01-02,-0.582390941257,-0.54326545711,k
2009-01-05,-0.569066197836,-0.416757513711,k
2009-01-06,-0.548408717869,-0.338137652621,k
2009-01-07,-0.52613675538,-0.304746750091,g
2009-01-08,-0.500078223655,-0.25018357636,g
2009-01-09,-0.4753208806,-0.238346294703,g
2009-01-12,-0.455097578517,-0.25702140674,g
2009-01-13,-0.439910650866,-0.284367970058,g
2009-01-14,-0.432411657571,-0.340341785718,g
2009-01-15,-0.433516658066,-0.411602349762,g
2009-01-16,-0.442042585632,-0.479935338044,g
2009-01-20,-0.46214864528,-0.592738028289,g
2009-01-21,-0.481491744718,-0.604057976199,g
