,Date,Symbol,Order,Shares
0,2008-02-28,IBM,SELL,100
1,2008-03-27,IBM,BUY,100
2,2008-04-22,IBM,SELL,100
3,2008-05-21,IBM,BUY,100
4,2008-07-01,IBM,BUY,100
5,2008-07-08,IBM,SELL,100
6,2008-07-21,IBM,SELL,100
7,2008-08-11,IBM,BUY,100
8,2008-08-21,IBM,BUY,100
9,2008-09-19,IBM,SELL,100
10,2008-10-10,IBM,BUY,100
11,2008-10-30,IBM,SELL,100
12,2008-11-21,IBM,BUY,100
13,2008-12-03,IBM,SELL,100
14,2009-01-07,IBM,SELL,100
15,2009-01-14,IBM,BUY,100
16,2009-01-22,IBM,SELL,100
17,2009-02-17,IBM,BUY,100
18,2009-02-24,IBM,BUY,100
19,2009-02-27,IBM,SELL,100
20,2009-03-25,IBM,SELL,100
21,2009-04-27,IBM,BUY,100
22,2009-04-30,IBM,SELL,100
23,2009-05-08,IBM,BUY,100
24,2009-06-02,IBM,SELL,100
25,2009-06-18,IBM,BUY,100
26,2009-07-08,IBM,BUY,100
27,2009-07-15,IBM,SELL,100
28,2009-07-22,IBM,SELL,100
29,2009-08-17,IBM,BUY,100
30,2009-09-03,IBM,BUY,100
31,2009-09-11,IBM,SELL,100
32,2009-09-18,IBM,SELL,100
33,2009-09-29,IBM,BUY,100
34,2009-10-15,IBM,SELL,100
35,2009-10-16,IBM,BUY,100
36,2009-12-14,IBM,SELL,100
37,2009-12-17,IBM,BUY,100
38,2009-12-29,IBM,SELL,100
